hour,Low,Medium,High,Worst_day
0,36.04268758139499,47.62003780561943,69.25695029469804,83.09171116783854
1,39.398011058206244,52.31166213739737,74.61138134550619,87.57974343677711
2,40.06582749356011,53.40548581049788,75.66240078064946,89.8203153322797
3,36.06163054432624,47.74483814872866,67.35100721520467,80.31492793856549
4,33.817668247792184,44.88854633013612,62.85299079538724,75.27581316581978
5,35.48957411253971,47.282815354451344,65.75789384804374,79.21200369102014
6,40.22015324564872,53.73776169413614,75.65310001023373,91.59107555888268
7,47.51514639346269,65.2657454951883,94.5420698626346,113.95922439911187
8,53.81310864198306,76.3488700497683,111.45550633707948,133.77503879534626
9,57.61755752152806,81.03494384882259,117.25603884249935,139.9183460836567
10,58.69012306036439,80.99797318307988,116.13057217525052,138.6010140404985
11,57.041443674837325,77.71926047945092,110.41910057928975,132.39181844282044
12,56.613094098729576,76.48268283610545,108.16102045542966,130.0329849175035
13,63.02161082523922,83.68039594756671,118.11819594774659,142.5894948040882
14,65.79096539387794,86.92584370021765,122.78732134788203,147.64599597215576
15,58.66763035740148,77.54175851142261,109.81653179876497,131.78102258918986
16,54.54970902474476,72.76942520524808,103.67601191133376,123.31277117857731
17,55.769066065792444,75.90813762232514,110.24448968526956,131.6388620004033
18,54.4028168357394,74.38860354871832,110.32409383228394,132.92063327571128
19,51.848688130537916,70.62620374997465,105.44732717914403,129.32268656210016
20,53.222858602614714,72.53461274609046,107.6635887351647,131.7251243396974
21,54.5554811989075,74.02561515971526,109.72293860465398,135.38679891120964
22,49.409447876850784,66.5843552406882,98.43801258983206,120.35596253088124
23,40.07749470254905,53.447162089614814,78.75899737084367,98.9098864330708
