day_type,High,Low,Medium,Worst_day
0,0.14683086419753086,0.10474458598726115,0.0991503937007874,0.1537
1,0.13983456790123455,0.09738216560509554,0.09203779527559056,0.1482
2,0.13546172839506174,0.0928624203821656,0.08785354330708661,0.1456
3,0.13510246913580248,0.0901515923566879,0.08550866141732284,0.147
4,0.13322716049382716,0.08826433121019109,0.08373858267716536,0.1482
5,0.1346320987654321,0.09122611464968153,0.08645748031496063,0.1513
6,0.14134938271604938,0.10014713375796179,0.09550866141732284,0.1582
7,0.1491283950617284,0.11510700636942675,0.11085748031496062,0.1617
8,0.1359493827160494,0.12116433121019109,0.10951889763779526,0.1549
9,0.11511604938271605,0.10972993630573248,0.08960866141732284,0.1387
10,0.09393703703703704,0.09608853503184714,0.07137716535433071,0.1288
11,0.08081851851851851,0.08708662420382166,0.060409448818897635,0.1176
12,0.07690987654320988,0.08343503184713376,0.056333070866141734,0.1227
13,0.07499012345679013,0.08156815286624204,0.0534992125984252,0.1253
14,0.07335185185185186,0.0813968152866242,0.05071023622047244,0.1227
15,0.07065061728395061,0.08378726114649682,0.04930472440944882,0.1174
16,0.07049259259259259,0.09456496815286625,0.05312755905511811,0.1168
17,0.07882345679012347,0.1098764331210191,0.06350708661417323,0.1176
18,0.0963679012345679,0.12294267515923567,0.08260944881889765,0.1177
19,0.12271358024691358,0.13361146496815288,0.10750708661417323,0.147
20,0.14766543209876543,0.14103312101910828,0.1262700787401575,0.1596
21,0.17065185185185183,0.13338280254777068,0.13294488188976378,0.1788
22,0.16527407407407407,0.12195350318471337,0.11950708661417324,0.1631
23,0.15182098765432098,0.1112653846153846,0.10908582677165354,0.1572
